model_id,model_type,shot_mode,input_variant,n,f1_macro_mean,f1_macro_std,f1_micro,precision_micro,recall_micro,exact_match_rate,latency_s_mean,tokens_per_s_mean,peak_mem_mb_mean,cost_usd_per_doc,parse_fail_rate,missing,hallucinated
gemma3-4b,local,few_shot,lines_plus_kv,20,0.642,0.1967,0.6102,0.6207,0.6,0.05,17.247,7.76,1593.8,0.0,0.0,4,0
gemma3-4b,local,zero_shot,lines_only,20,0.6316,0.212,0.6009,0.6195,0.5833,0.1,13.087,9.95,1625.1,0.0,0.0,7,0
gemma3-4b,local,zero_shot,lines_plus_kv,20,0.6619,0.218,0.6261,0.6545,0.6,0.15,7.712,15.59,1312.0,0.0,0.0,10,0
llama-70b,api,few_shot,lines_only,20,0.7587,0.1772,0.7477,0.8137,0.6917,0.2,1.198,72.15,,0.001522,0.0,18,0
llama-70b,api,few_shot,lines_plus_kv,20,0.7464,0.2005,0.7364,0.81,0.675,0.2,1.197,71.88,,0.001535,0.0,20,0
llama-70b,api,zero_shot,lines_only,20,0.6408,0.21,0.6364,0.7,0.5833,0.1,1.287,71.6,,0.000798,0.0,20,0
llama-70b,api,zero_shot,lines_plus_kv,20,0.6131,0.1952,0.6147,0.6837,0.5583,0.05,1.322,69.76,,0.000801,0.0,22,0
llama3.2-1b,local,few_shot,lines_only,20,0.025,0.075,0.025,0.025,0.025,0.0,7.172,13.68,1878.7,0.0,0.0,0,0
llama3.2-1b,local,few_shot,lines_plus_kv,20,0.025,0.075,0.025,0.025,0.025,0.0,7.076,13.98,1917.3,0.0,0.0,0,0
llama3.2-1b,local,zero_shot,lines_only,20,0.526,0.1478,0.5112,0.5534,0.475,0.0,6.307,14.05,1914.2,0.0,0.0,17,0
llama3.2-1b,local,zero_shot,lines_plus_kv,20,0.5324,0.1419,0.5179,0.5577,0.4833,0.0,4.041,21.1,1844.9,0.0,0.0,16,0
llama4-maverick,api,few_shot,lines_only,20,0.7088,0.2147,0.6933,0.7429,0.65,0.2,1.099,85.79,,0.00057,0.0,15,0
llama4-maverick,api,few_shot,lines_plus_kv,20,0.7081,0.2066,0.6844,0.7333,0.6417,0.2,1.171,83.57,,0.000575,0.0,15,0
llama4-maverick,api,zero_shot,lines_only,20,0.6919,0.1914,0.6789,0.7551,0.6167,0.15,1.139,82.8,,0.000327,0.0,22,0
llama4-maverick,api,zero_shot,lines_plus_kv,20,0.6848,0.1931,0.6697,0.7449,0.6083,0.15,0.986,92.19,,0.000329,0.0,22,0
mistral-7b,local,few_shot,lines_only,20,0.7099,0.1959,0.6758,0.7475,0.6167,0.2,34.196,4.0,4813.2,0.0,0.0,21,0
mistral-7b,local,few_shot,lines_plus_kv,20,0.7009,0.2119,0.6606,0.7228,0.6083,0.2,34.189,4.0,4860.5,0.0,0.0,19,0
mistral-7b,local,zero_shot,lines_only,20,0.5744,0.1763,0.5478,0.5727,0.525,0.0,30.397,4.61,4787.0,0.0,0.0,10,0
mistral-7b,local,zero_shot,lines_plus_kv,20,0.581,0.1826,0.5494,0.5664,0.5333,0.0,14.478,8.76,4662.6,0.0,0.0,7,0
mistral-7b-ft,local,few_shot,lines_only,20,0.6375,0.2982,0.5583,0.5583,0.5583,0.3,52.922,3.14,4743.0,0.0,0.0,0,0
mistral-7b-ft,local,few_shot,lines_plus_kv,20,0.625,0.3187,0.5417,0.5417,0.5417,0.3,50.082,3.28,4760.8,0.0,0.0,0,0
mistral-7b-ft,local,zero_shot,lines_only,20,0.6875,0.2837,0.625,0.625,0.625,0.35,53.794,3.3,4731.0,0.0,0.0,0,0
mistral-7b-ft,local,zero_shot,lines_plus_kv,20,0.6938,0.2808,0.6333,0.6333,0.6333,0.35,32.256,6.77,4647.7,0.0,0.0,0,0
phi4-mini,local,few_shot,lines_only,20,0.4263,0.3645,0.4022,0.6102,0.3,0.15,10.138,9.29,3171.5,0.0,0.0,61,0
phi4-mini,local,few_shot,lines_plus_kv,20,0.5119,0.3059,0.4842,0.6571,0.3833,0.15,10.022,9.38,3337.9,0.0,0.0,50,0
phi4-mini,local,zero_shot,lines_only,20,0.6012,0.2149,0.5856,0.6373,0.5417,0.1,10.201,10.22,3301.0,0.0,0.0,18,0
phi4-mini,local,zero_shot,lines_plus_kv,20,0.5721,0.2351,0.5408,0.5575,0.525,0.1,5.875,16.62,3076.2,0.0,0.0,7,0
phi4-mini-ft,local,few_shot,lines_only,20,0.65,0.2894,0.5833,0.5833,0.5833,0.3,23.181,4.49,3227.7,0.0,0.0,0,0
phi4-mini-ft,local,few_shot,lines_plus_kv,20,0.65,0.2727,0.5917,0.5917,0.5917,0.25,24.556,4.43,3229.4,0.0,0.0,0,0
phi4-mini-ft,local,zero_shot,lines_only,20,0.6938,0.2576,0.6417,0.6417,0.6417,0.35,20.957,4.76,3255.7,0.0,0.0,0,0
phi4-mini-ft,local,zero_shot,lines_plus_kv,20,0.6812,0.2666,0.625,0.625,0.625,0.35,10.987,8.14,2991.9,0.0,0.0,0,0
qwen2.5-0.5b,local,few_shot,lines_only,20,0.425,0.2449,0.3667,0.3667,0.3667,0.0,4.198,30.21,1465.7,0.0,0.0,0,0
qwen2.5-0.5b,local,few_shot,lines_plus_kv,20,0.425,0.2449,0.3667,0.3667,0.3667,0.0,4.201,29.26,1471.5,0.0,0.0,0,0
qwen2.5-0.5b,local,zero_shot,lines_only,20,0.3329,0.1825,0.3445,0.4045,0.3,0.0,3.549,30.52,1465.9,0.0,0.0,31,0
qwen2.5-0.5b,local,zero_shot,lines_plus_kv,20,0.341,0.1825,0.3558,0.4205,0.3083,0.0,2.308,43.23,1467.6,0.0,0.0,32,0
qwen3-235b,api,few_shot,lines_only,20,0.7452,0.2094,0.7162,0.7523,0.6833,0.25,2.965,40.56,,0.000579,0.0,11,0
qwen3-235b,api,few_shot,lines_plus_kv,20,0.7471,0.2076,0.7193,0.7593,0.6833,0.25,4.074,39.33,,0.000583,0.0,12,0
qwen3-235b,api,zero_shot,lines_only,20,0.6881,0.2035,0.6696,0.7212,0.625,0.2,3.499,39.7,,0.00032,0.0,16,0
qwen3-235b,api,zero_shot,lines_plus_kv,20,0.6745,0.2194,0.6518,0.7019,0.6083,0.2,3.497,34.25,,0.00032,0.0,16,0
smollm2-360m,local,few_shot,lines_only,20,0.2562,0.2695,0.175,0.175,0.175,0.0,4.128,29.05,1153.3,0.0,0.0,0,0
smollm2-360m,local,few_shot,lines_plus_kv,20,0.2688,0.263,0.1833,0.1833,0.1833,0.0,4.117,28.94,1162.3,0.0,0.0,0,0
smollm2-360m,local,zero_shot,lines_only,20,0.3438,0.2161,0.3417,0.3417,0.3417,0.0,3.507,33.82,1178.9,0.0,0.0,0,0
smollm2-360m,local,zero_shot,lines_plus_kv,20,0.3562,0.2026,0.35,0.35,0.35,0.0,2.663,42.24,1151.6,0.0,0.0,0,0
